ID DEPARTAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
50,Meta,50325,Mapiripan,50325000,Mapiripan (Mapiripan - Meta),2024,6,173757,58073.0,340.12,Lunes,2024-06-17 15:00:00,24.0
52,Nariño,52250,El Charco,52250016,Alterón (Uribe Uribe) (El Charco - Nariño),2024,6,554,347.0,6.43,Martes,2024-06-04 18:45:00,3.43
52,Nariño,52250,El Charco,52250005,Las Mercedes (El Charco - Nariño),2024,6,983,873.0,12.58,Sábado,2024-06-01 19:00:00,4.14
52,Nariño,52250,El Charco,52250007,San José Del Tapaje (El Charco - Nariño),2024,6,9682,2920.0,64.0,Viernes,2024-06-28 20:15:00,10.06
52,Nariño,52390,La Tola,52390005,Aguacatal (La Tola - Nariño),2024,6,783,189.0,9.5,Domingo,2024-06-30 11:30:00,3.27
52,Nariño,52390,La Tola,52390013,Amarales (La Tola - Nariño),2024,6,8842,2662.0,51.46,Jueves,2024-06-13 12:15:00,8.01
52,Nariño,52390,La Tola,52390003,La Vigia De La Mar (La Tola - Nariño),2024,6,4814,2215.0,21.64,Miércoles,2024-06-26 12:45:00,9.5
52,Nariño,52390,La Tola,52390009,Mulatos (La Tola - Nariño),2024,6,4251,2656.0,28.99,Sábado,2024-06-22 18:45:00,7.53
52,Nariño,52390,La Tola,52390016,San Pablo Del Mar (La Tola - Nariño),2024,6,5924,2122.0,26.3,Sábado,2024-06-15 19:30:00,10.03
52,Nariño,52427,Magüí,52427913,La Isla (Magüí - Nariño),2024,6,0,0.0,0.0,Sábado,2024-06-01 00:00:00,0.0
52,Nariño,52427,Magüí,52427915,Las Lajas (Magüí - Nariño),2024,6,0,0.0,0.0,Sábado,2024-06-01 00:00:00,0.0
52,Nariño,52473,Mosquera,52473010,El Bajito De Echandía (Mosquera - Nariño),2024,6,1615,630.0,10.2,Jueves,2024-06-13 18:15:00,7.03
52,Nariño,52490,Olaya Herrera,52490913,Boca De Prieta (Olaya Herrera - Nariño),2024,6,2168,656.0,13.7,Sábado,2024-06-29 19:30:00,6.19
